"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2014-151","Operation Beyond Design Limits","12/09/2014","Atmore","Alberta","NOVA Gas Transmission Ltd.","Closed","54.83664700","-112.55130400","Not Applicable","Not Applicable","Not Applicable","No","2014","2014/12/08 10:22:00 PM Mountain","2014/12/08 10:22:00 PM Mountain","Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate warning system","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate or improper controls;Job or system factors, Inadequate engineering, Inadequate evaluation of changes","Engineering and Planning","","","Maintenance","","2016/09/28","No","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","ATMORE LATERAL - NPS 12","323.90000000","19.99927397","Natural Gas","","","","","Canada","Yes","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2014-153","Release of Substance","12/17/2014","Regina","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.48240800","-104.57520900","173.6000","Crude Oil - Sweet","Liquid","No","2014","","2014/12/16 10:42:00 PM Mountain","Damage or deterioration mechanism, Equipment, Gasket/O-ring","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Excessive wear and tear, Inadequate planning of use;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution","Engineering and Planning, Inadequate Procurement, Maintenance","","Transmission","Operation","3rd Party / Other Company","2015/10/09","Yes","No","Release of Substance","Crude Oil - Sweet","173.6000","No","No","","","","","","","","","","","0","OPR","Line 4","1219.00000000, 864.00000000, 914.00000000","1248.90987194","Crude Oil","","Meter","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","MP 437","Level I","Standard Review - 168 days","Yes","REM-0336","Station/Facility, Pumping, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Yes","","","No","Yes","","","No"
"INC2014-154","Release of Substance","12/23/2014","Saint John","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","45.25902000","-66.09440500","100.0000","Natural Gas - Sweet","Gas","No","2014","2014/12/23 04:15:00 AM Atlantic","2014/12/23 04:15:00 AM Atlantic","Damage or deterioration mechanism, Other Causes, Unknown","Other Causes","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Inadequate maintenance","Maintenance","","","Operation","","2015/04/21","Yes","No","Release of Substance","Natural Gas - Sweet","100.0000","No","No","","","","","","","","","","","0","OPR","Saint John lateral","406.40000000","104.62170478","Natural Gas","","","","","Canada","Yes","No","Yes","No","Unknown Land Use (Historical Data Migration)","46 or more dwelling units","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Receiving, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Yes","","","No","Yes","","","No"
"INC2014-155","Release of Substance","12/23/2014","Kenora","Ontario","TransCanada PipeLines Limited","Closed","49.79171000","-94.49432000","0.0100","Natural Gas - Sweet","Gas","No","2014","2014/12/23 06:00:00 AM Eastern","2014/12/23 06:00:00 AM Eastern","Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Excessive wear and tear, Improper loading or rate of use;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Inadequate Supervision, Maintenance","No pipeline interruption","","Operation","Employee / Contractor (Onsite)","2016/12/05","Yes","No","Release of Substance","Natural Gas - Sweet","0.0100","No","No","","","","","","","","","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","STN 49 - KENORA","","49.79171203","-94.49432202","Canada","Yes","No","Yes","No","Unknown Land Use (Historical Data Migration)","11 to 45 dwelling units","Mainline Valve + Offset (km)","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Auxiliary device(s) (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-001","Release of Substance","01/09/2015","St.George","New Brunswick","Maritimes & Northeast Pipeline Management Ltd.","Closed","45.20228340","-66.68660220","1.0000","Natural Gas - Sweet","Gas","No","2015","2015/01/08 05:30:00 PM Atlantic","2015/01/08 05:30:00 PM Atlantic","Substandard Conditions, Weather Related, Frozen components;Substandard Conditions, Weather Related, Temperature Extremes","External Interference","Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Standards and Procedures","No pipeline interruption","Transmission","Operation","Inspection Site Visit","2017/02/21","No","No","Release of Substance","Natural Gas - Sweet","1.0000","Yes","No","","","","","","","","","","","0","OPR","Saint John lateral","406.40000000","104.62170478","Natural Gas","","","","","Canada","Yes","No","No","No","Forests","10 or fewer dwelling units","SJLT KP 40","Level I","Standard Review - 168 days","No","","Pipeline, Valve, Pressure relief, Seal/Packing","CSA Z662","NPS 1/2","Stainless Steel","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","2014-12-17","Visual","Yes","No","2014-12-12","Testing of Functionality","Yes"
"INC2015-002","Operation Beyond Design Limits","01/09/2015","Bowmanville","Ontario","Trans-Northern Pipelines Inc.","Closed","43.94536000","-78.66176900","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/01/09 01:30:00 PM Eastern","2015/01/09 01:30:00 PM Eastern","Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Servicing equipment in operation;Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Inadequate information or data","External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Job or system factors, Inadequate purchasing, Inadequate research on materials or equipment;Job or system factors, Inadequate purchasing, Inadequate specifications to vendors;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications","Human Factors, Inadequate Procurement, Tools and Equipment","Short-term interruption","Transmission","Operation","Other Control System","2017/01/10","No","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","Mainline","273.10000000","635.01881647","Refined Products-Aviation","","Meter","","","Canada","Yes","No","Yes","No","Agricultural Cropland","10 or fewer dwelling units","471.54","Level I","Standard Review - 168 days","No","INC2011-012, INC2011-129, INC2012-054, INC2013-101, INC2013-202, INC2013-203, INC2014-080, INC2014-123, INC2015-034, INC2016-008","Pipeline, Pipe, Body","ASAB31.1-1951","NPS 10","Carbon Steel","317 - X46","30","7.8 mm = 0.307 in","","","8274.0000","6619.0000","7509.0000","","","","1952","1952","","","Straight","Electric Resistance Welded","","External","Polyethylene Tape Wrap","","Plant Applied","","No","","","No","2015-01-07","","Yes","No","2015-01-08","Testing of Functionality","Yes"
"INC2015-006","Fire","01/16/2015","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54210000","-113.35840000","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/01/14 12:50:00 PM Mountain","2015/01/14 12:50:00 PM Mountain","Substandard Acts, Using equipment improperly;Substandard Conditions, Inadequate preparation or planning","External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Maintenance, Standards and Procedures","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2018/04/20","No","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","","","","","","Valve","","","Canada","No","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","0","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-010","Release of Substance","01/26/2015","Mattice, Ontario","Ontario","TransCanada PipeLines Limited","Closed","49.58574000","-83.16674000","0.0100","Natural Gas - Sweet","Gas","No","2015","","2015/01/25 02:45:00 PM Mountain","Damage or deterioration mechanism, Geotechnical Failure, Frost heave","Natural Force Damage","Job or system factors, Inadequate engineering, Inadequate evaluation of changes","Engineering and Planning","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2017/05/01","Yes","No","Release of Substance","Natural Gas - Sweet","0.0100","No","No","","","","","","","","","","","0","OPR","","","","","STN 92 - MATTICE","","49.58573804","-83.16673903","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","N/A","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Piping, Body","","NPS 2","Carbon Steel","","","","","","","","","0.3000","","","","","","","","","","","","","","","No","","","No","2015-01-23","Visual","Yes","Yes","","","No"
"INC2015-013","Release of Substance","01/31/2015","Dartmouth","Nova Scotia","Maritimes & Northeast Pipeline Management Ltd.","Closed","44.71915100","-63.58377400","1.0000","Fuel Gas","Gas","No","2015","2015/01/31 01:45:00 PM Atlantic","2015/01/31 01:45:00 PM Atlantic","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate or improper controls","Engineering and Planning","No pipeline interruption","Transmission","Operation","Employee / Contractor (Onsite)","2017/01/19","Yes","No","Release of Substance","Fuel Gas","1.0000","No","No","","","","","","","","","","","0","OPR","Halifax Lateral","323.90000000","126.14013429","Natural Gas","","Meter","","","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","118","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Valve, Pressure relief, Other (please explain)","CSA Z662-11","","","","","","","","3447.0000","","3240.0000","","","","2012","2012","","","","","","","","","","","No","","","No","2014-12-18","Visual","No","No","2014-12-18","Repair","No"
"INC2015-014","Operation Beyond Design Limits","02/04/2015","Edmonton","Alberta","Enbridge Pipelines Inc.","Closed","53.54305555","-113.35416666","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/02/01 05:00:00 PM Mountain","2015/02/01 05:00:00 PM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction;Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to react or correct","Equipment Failure, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Unclear or conflicting assignment of responsibility;Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training","Inadequate Supervision, Standards and Procedures","No pipeline interruption","Transmission","Operation","SCADA","2017/01/26","Yes","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Developed Land - Industrial","46 or more dwelling units","KP 0","Level I","Standard Review - 168 days","No","","Station/Facility, Pumping, Valve, Pressure relief, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","2014-04-17","Visual","Yes","Yes","","","No"
"INC2015-016","Release of Substance","02/08/2015","Boyle","Alberta","NOVA Gas Transmission Ltd.","Closed","54.52433100","-112.66596100","0.0600","Natural Gas - Sweet","Gas","No","2015","","2015/02/08 02:00:00 PM Mountain","Damage or deterioration mechanism, Material Loss, External Material Loss","Corrosion and Cracking","Job or system factors, Inadequate tools and equipment, Inadequate removal and replacement of unsuitable items;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance, Tools and Equipment","Short-term interruption","Transmission","Operation","Scheduled Patrol","2016/05/10","Yes","No","Release of Substance","Natural Gas - Sweet","0.0600","Yes","No","","","","","","","","","","","0","OPR","FLAT LAKE LATERAL LOOP - NPS 16","406.40000000","53.31541245","Natural Gas","","","","","Canada","No","Yes","Yes","No","Shrub Land","10 or fewer dwelling units","N/A","Level I","Standard Review - 168 days","No","INC2013-162","Pipeline, Pipe, Girth weld","CSA Z245.1","NPS 16","Carbon Steel","359 - X52","","6.0 mm = 0.237 in","","","8453.0000","","","","","","","","","Girth (Circumferential)","Straight","Electric Resistance Welded","","External","Polyethylene Tape Wrap","Disbonded","Field Applied","1976","No","Replacement","2015-02-10","No","2015-02-28","Inline Inspection (ILI)","No","Yes","","","No"
"INC2015-018","Release of Substance","02/15/2015","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14470000","-120.66860000","70.0000","Water","Miscellaneous","No","2015","2015/02/13 12:00:00 AM Mountain","2015/02/13 10:00:00 AM Mountain","Substandard Conditions, Weather Related, High winds;Substandard Acts, Improper placement","External Interference, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate development of standards, Coordination with process design","Standards and Procedures","No pipeline interruption","Processing","Operation","Employee / Contractor (Onsite)","2016/10/17","No","No","Release of Substance","Water","70.0000","No","Yes","","","","","","","","","","","0","PPR","12"" Milligan-Peejay Pipeline","323.90000000","50.94683691","Natural Gas Sour","","","","","Canada","Yes","No","No","No","Vegetative Barren","10 or fewer dwelling units","51.79","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-020","Release of Substance","02/26/2015","Goldboro","Nova Scotia","ExxonMobil Canada Properties","Closed","45.17170605","-61.61267605","396.0000","Natural Gas - Sweet","Gas","No","2015","2015/02/24 07:20:00 PM Atlantic","2015/02/24 07:20:00 PM Atlantic","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Inadequate Supervision, Maintenance","No pipeline interruption","","Operation","Scheduled Patrol","2017/02/07","Yes","No","Release of Substance","Natural Gas - Sweet","396.0000","No","No","","","","","","","","","","","0","PPR","Sable Offshore Energy Project","1362.40000000, 219.10000000, 304.80000000, 457.20000000, 660.00000000","416.61358499","Natural Gas","GOLDBORO GAS PLANT","","45.17170605","-61.61267605","Canada","Yes","No","No","No","Shrub Land","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","Processing Plant, Cooling","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","2014-09-19","Visual","Yes","No","2013-01-27","Repair","No"
"INC2015-021","Release of Substance","02/28/2015","Grand Prairie","Alberta","NOVA Gas Transmission Ltd.","Closed","55.00450000","-119.47200000","0.1000","Natural Gas - Sweet","Gas","No","2015","2015/02/27 05:50:00 PM Mountain","2015/02/27 05:50:00 PM Mountain","Damage or deterioration mechanism, Material Loss, External Material Loss;Damage or deterioration mechanism, External Interference, Unknown","Corrosion and Cracking, External Interference","Personal factors, Physical or physiological stress, Oxygen deficiency;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks","Human Factors, Tools and Equipment","Short-term interruption","Transmission","Maintenance","Employee / Contractor (Onsite)","2018/11/01","Yes","No","Release of Substance","Natural Gas - Sweet","0.1000","Yes","No","","","","","","","","","","","0","OPR","GRANDE PRAIRIE MAINLINE LOOP","1067.00000000, 610.00000000, 762.00000000, 914.00000000","368.22352574","Natural Gas, Natural Gas Sweet","","","","","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","N/A","Level I","Standard Review - 168 days","No","","Pipeline, Pipe, Body","1981","NPS 24","Carbon Steel","483 - X70","","6.6 mm = 0.258 in","0.00","6.8000","7584.0000","","5725.0000","1.2000","0.0000","1981","1981","1981","-1257.0000","","Spiral","","","External","Polyethylene Tape Wrap","Disbonded","Field Applied","1981","No","Removal","","No","2015-02-18","Inline Inspection (ILI)","Yes","No","2015-02-27","Repair","Yes"
"INC2015-022","Explosion","03/02/2015","Milden, Saskatchewan","Saskatchewan","Enbridge Pipelines Inc.","Closed","51.44664600","-107.38747200","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/02/27 04:00:00 PM Central","2015/02/27 04:00:00 PM Mountain","Substandard Conditions, Inadequate or improper protective equipment;Substandard Conditions, Defective tools, equipment or materials","External Interference","Job or system factors, Excessive wear and tear, Inadequate maintenance","Maintenance","Short-term interruption","Transmission","Operation","Employee / Contractor (Onsite)","2016/02/03","Yes","No","Explosion, Interruption of Pipeline Operations","","","","No","Equipment & Electrical","","","","","","","","","","0","OPR","Line 4","1219.00000000, 864.00000000, 914.00000000","1248.90987194","Crude Oil","","Meter","","","Canada","Yes","No","No","No","Agricultural Cropland","10 or fewer dwelling units","KP 475","Level I","Standard Review - 168 days","No","INC2012-174, INC2015-022, INC2015-097, INC2016-003, INC2016-122, INC2017-006","Station/Facility, Pumping, Auxiliary device(s) (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Yes","","","No","Yes","","","No"
"INC2015-023","Release of Substance","03/03/2015","Glenboro","Manitoba","Enbridge Pipelines Inc.","Closed","49.53903900","-99.28839300","0.0150","Natural Gas Liquids","Gas","No","2015","2015/03/03 09:14:00 AM Mountain","2015/03/03 09:14:00 AM Mountain","Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Inadequate warning system;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate evaluation of changes;Job or system factors, Inadequate communications, Inadequate communication between work groups ;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules","Engineering and Planning, Failure in communication, Standards and Procedures","Short-term interruption","Transmission","Maintenance","Employee / Contractor (Onsite)","2016/11/17","No","No","Release of Substance","Natural Gas Liquids","0.0150","No","No","","","","","","","","","","","0","OPR","Line 1","508.00000000, 864.00000000","1255.99912071","Crude Oil","","Meter","","","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-024","Fire","03/04/2015","Hardisty","Alberta","Enbridge Pipelines Inc.","Closed","52.49245275","-110.85202962","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/03/04 09:30:00 AM Mountain","2015/03/04 09:30:00 AM Mountain","Substandard Acts, Using defective equipment;Substandard Acts, Failure to check or monitor;Substandard Conditions, Inadequate ventilation;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Physical or physiological stress, Drugs;Personal factors, Lack of skill, Inadequate practice;Job or system factors, Inadequate leadership and/or supervision, Giving inadequate policy, procedure, practices or guidelines;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules;Job or system factors, Inadequate work standards, Inadequate communication of standards, Training","Human Factors, Inadequate Supervision, Standards and Procedures, Tools and Equipment","No pipeline interruption","Transmission","Maintenance","Employee / Contractor (Onsite)","2018/04/20","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Agricultural Cropland","10 or fewer dwelling units","MP129.9235","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-025","Fire","03/06/2015","Regina","Saskatchewan","Enbridge Pipelines Inc.","Closed","50.48372810","-104.59147000","Not Applicable","Not Applicable","Not Applicable","No","2015","2015/03/05 02:45:00 PM Central","2015/03/05 02:45:00 PM Central","Substandard Acts, Improper placement","Incorrect Operation","Personal factors, Lack of knowledge, Lack of experience;Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Lack of knowledge, Lack of situational awareness;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training","Human Factors, Inadequate Supervision","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2018/04/20","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","","","","","","Valve","","","Canada","No","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-026","Release of Substance","03/09/2015","Chetwynd","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","55.57300000","-121.94100000","2.0000","Contaminated Water","Miscellaneous","No","2015","2015/03/09 09:30:00 AM Mountain","2015/03/09 12:00:00 PM Mountain","Substandard Acts, Failure to communicate or coordinate","Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate development of standards, Coordination with process design","Standards and Procedures","No pipeline interruption","Processing","Maintenance","Employee / Contractor (Onsite)","2017/08/24","Yes","No","Release of Substance","Contaminated Water","2.0000","No","Yes","","","","","","","","","","","0","PPR","Grizzly Pipeline","273.10000000, 508.00000000, 610.00000000","160.64518522","Natural Gas Sour, Natural Gas Sweet","","","","","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","Processing Plant, Sweetening (desulfurization)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2015-027","Release of Substance","03/09/2015","Taylor","British Columbia","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission","Closed","56.14970000","-120.67240000","6.9400","Propane","Gas","No","2015","2015/03/09 12:00:00 PM Mountain","2015/03/09 06:00:00 PM Mountain","Substandard Conditions, Defective tools, equipment or materials","External Interference","Job or system factors, Inadequate maintenance, Inadequate preventive, Cleaning or resurfacing","Maintenance","No pipeline interruption","Distribution","Operation","Other Control System","2017/01/11","Yes","No","Release of Substance","Propane","6.9400","No","No","","","","","","","","","","","0","PPR","20"" ALASKA HIGHWAY TRUNK PIPELINE","508.00000000","28.69664024","Natural Gas Sour","","","","","Canada","Yes","No","No","No","Developed Land - Industrial","11 to 45 dwelling units","","Level I","Standard Review - 168 days","No","","Processing Plant, Storage","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Yes","","","No","Yes","","","No"
"INC2015-028","Release of Substance","03/13/2015","Hardisty","Alberta","TransCanada Keystone Pipeline GP Ltd.","Closed","52.65396000","-111.26847000","2.3000","Crude Oil - Sweet","Liquid","No","2015","2015/01/16 06:00:00 PM Mountain","2015/01/16 07:00:00 PM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing;Damage or deterioration mechanism, Other Causes, Improper Operation;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Acts, Failure to identify hazard or risk;Substandard Acts, Failure to communicate or coordinate;Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Inadequate preparation or planning","Equipment Failure, External Interference, Incorrect Operation","Personal factors, Lack of knowledge, Lack of situational awareness;Personal factors, Lack of skill, Inadequate review instruction;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate engineering, Inadequate assessment of loss exposures;Job or system factors, Inadequate tools and equipment, Inadequate assessment of needs and risks;Job or system factors, Inadequate communications, Inadequate communication between work groups ;Job or system factors, Inadequate communications, Inadequate communication between shifts;Job or system factors, Inadequate communications, Inadequate communication methods ;Job or system factors, Inadequate communications, Inadequate communication due to job turnover","Engineering and Planning, Failure in communication, Human Factors, Inadequate Supervision, Tools and Equipment","No pipeline interruption","Transmission","Construction","Employee / Contractor (Onsite)","2017/02/03","Yes","No","Release of Substance","Crude Oil - Sweet","2.3000","No","Yes","","","","","","","","","","","0","OPR","","","","","KEYSTONE HARDISTY TANK TERMINAL","","52.65395901","-111.26846943","Canada","Yes","No","No","No","Developed Land - Industrial","10 or fewer dwelling units","0.0","Level I","Standard Review - 168 days","No","REM-0346","Pipeline, Valve, Gate, Body;Station/Facility, Pumping, Valve, Ball, Seal/Packing;Station/Facility, Pumping, Valve, Gate, Seal/Packing","CSA Z662-2011","NPS 30","Carbon Steel","448 - X65","40","9.5 mm = 0.375 in","","9.5000","1900.0000","","1427.0000","","","2014","2014","2015","","Girth (Circumferential)","","","","External","","Intact","Plant Applied","2014","No","","","No","2015-01-16","Visual","No","No","","","No"
"INC2015-029","Release of Substance","03/17/2015","Plum Coulee","Manitoba","Enbridge Pipelines Inc.","Closed","51.45000000","-107.38611111","0.0005","Natural Gas Liquids","Gas","No","2015","2015/03/17 01:35:00 PM Central","2015/03/17 01:35:00 PM Central","Damage or deterioration mechanism, External Interference, Third Party;Substandard Conditions, Weather Related, High winds;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate guards or barriers;Substandard Conditions, Congestion or restricted action;Substandard Conditions, Inadequate instructions or procedures","External Interference, Incorrect Operation","Personal factors, Mental or psychological stress, Preoccupation with problems;Personal factors, Lack of knowledge, Inadequate initial training;Personal factors, Improper motivation, Improper attempt to save time or effort;Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures","Human Factors, Inadequate Supervision","Short-term interruption","Transmission","Operation","Employee / Contractor (Onsite)","2016/12/20","No","No","Release of Substance","Natural Gas Liquids","0.0005","No","No","","","","","","","","","","","0","OPR","Line 1","508.00000000, 864.00000000","1255.99912071","Crude Oil","","Meter","","","Canada","No","No","No","No","Agricultural Cropland","10 or fewer dwelling units","MP 762.43","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
